,House,Price,Ubication,Features
50,"Casa En Venta, Recuperación Bancaria, Col. Prados Del Mirador, Santiago De Queretaro, Queretaro. Jf08","667,000","Avenida Equinoccio, Puerta Del Sol II, Querétaro, QuerétaroVer información de la zona","['Superficie total120 m²', 'Superficie construida120 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad20 años', 'Ambientes2', 'Bodegas2', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte']"
51,"Gran Oportunidad Casa En Venta En Avenida Equinoccio, Puerta Del Sol Ii, Santiago De Querétaro, Querétaro, México. Cmr","1,946,320","Marqués De Cruillas 134, Lomas Del Marques, Santiago De Querétaro, Lomas Del Marques, Querétaro, QuerétaroVer información de la zona","['Superficie total160 m²', 'Superficie construida144 m²', 'Recámaras4', 'Baños3', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad24 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento100 MXN']"
52,"Casa En Venta, Recuperación Bancaria, Col. Lomas Del Marques, Santiago De Queretaro, Queretaro. Jf08","670,000","Alamos 3ra Secc, Santiago De Querétaro, Álamos 3a Sección, Querétaro, QuerétaroVer información de la zona","['Superficie total200 m²', 'Superficie construida210 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad12 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
53,Casa En Venta En Álamos 3ª Sección,"2,068,802","Lago De Chapala, Cumbres Del Lago, Querétaro, QuerétaroVer información de la zona","['Superficie total159 m²', 'Superficie construida240 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad24 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento100 MXN']"
54,Casa En Venta Lago De Chapala Cumbres Del Lago Queretaro/ Recuperacion Bancaria. Sh05,"7,500,000","Plaza San Sebastián, Las Plazas, Querétaro, QuerétaroVer información de la zona","['Superficie total269 m²', 'Superficie construida269 m²', 'Recámaras5', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad30 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos3', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento0 MXN']"
55,Edificio Remate Bancario Iztacalco Cdmx!!!!,"870,058","Sinaloa 304, San José El Alto, Querétaro, QuerétaroVer información de la zona","['Superficie total180 m²', 'Superficie construida170 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes1', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento0 MXN']"
56,Oportunidad De Inversion Inmoviliara En San Jose El Alto Hm,"1,137,000","C. Yaquis 231, Santiago, Querétaro, QuerétaroVer información de la zona","['Superficie total400 m²', 'Superficie construida820 m²', 'Recámaras1', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateSí', 'Antigüedad20 años', 'Bodegas2', 'Cantidad de pisos4']"
57,"Casa En Venta En C. Yaquis 231, Cerrito Colorado, Santiago De Querétaro","3,000,000","Av. De La Cantera 2500, Santiago De Querétaro, Lomas De Satélite, Querétaro, QuerétaroVer información de la zona","['Superficie total400 m²', 'Superficie construida299 m²', 'Recámaras4', 'Baños2', 'Estacionamientos3', 'Es propiedad en remateSí', 'Antigüedad13 años', 'Ambientes4', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento10 MXN']"
58,"Casa En Venta, Recuperación Bancaria, Col. Lomas De Satelite, Santiago De Queretaro , Queretaro. Jf08","660,000","C. Coros 1 - 300, Candiles, Querétaro, QuerétaroVer información de la zona","['Superficie total107 m²', 'Superficie construida107 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad20 años', 'Ambientes10', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte']"
59,"Casa En Venta, Recuperación Bancaria, Col. Candiles, Queretaro, Queretaro. Jf08","657,580","Tzeltales 241, Cerrito Colorado, Santiago De Querétaro, Cerrito Colorado, Querétaro, QuerétaroVer información de la zona","['Superficie total62 m²', 'Superficie construida96 m²', 'Recámaras3', 'Baños3', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad12 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento100 MXN']"
