Price,Total_Area_m^2,Built_Area_m^2,Bedrooms,Bathrooms,Parking,Neighborhood
2150000.0,122.0,104.0,3.0,2.0,2.0,JURICA
3000000.0,170.0,163.0,3.0,2.0,3.0,SANTA FE
2200000.0,128.0,73.0,2.0,2.0,2.0,SANTA FE
7250000.0,194.0,150.0,3.0,3.0,2.0,JURIQUILLA
1800000.0,184.0,150.0,3.0,4.0,3.0,CIMATARIO
3200000.0,96.0,96.0,3.0,2.0,2.0,SAN MIGUEL
2900000.0,200.0,180.0,4.0,3.0,2.0,SANTIAGO
350000.0,222.0,162.0,3.0,3.0,3.0,CENTRO
573000.0,65.0,60.0,2.0,1.0,1.0,VILLAS DEL MESON
713000.0,90.0,60.0,2.0,1.0,1.0,LOMAS DE JURIQUILLA
990000.0,108.0,37.0,2.0,1.0,1.0,REAL DE JURIQUILLA
2821000.0,145.0,145.0,3.0,2.0,1.0,JURIQUILLA
11300000.0,342.0,342.0,4.0,2.0,2.0,JURIQUILLA
6450000.0,250.0,231.0,3.0,3.0,3.0,CENTRO
3500000.0,305.0,290.0,3.0,3.0,3.0,REAL DE JURIQUILLA (DIAMANTE)
8400000.0,190.0,149.0,3.0,2.0,2.0,CLUB CAMPESTRE
980000.0,354.0,0.0,4.0,3.0,0.0,REAL DE JURIQUILLA
1136031.0,180.0,110.0,3.0,2.0,2.0,VISTA HERMOSA
5550000.0,95.0,95.0,3.0,2.0,1.0,EL CAMPANARIO
18000000.0,368.0,0.0,3.0,2.0,2.0,VILLAS DEL MESON
4100000.0,808.0,552.0,4.0,4.0,0.0,MISION DE CONCA
510000.0,247.0,207.0,3.0,3.0,3.0,EL CAMPANARIO
52500000.0,140.0,140.0,2.0,2.0,2.0,VILLAS DEL CIMATARIO
11000000.0,420.0,0.0,3.0,3.0,3.0,JURIQUILLA
2556000.0,333.0,270.0,4.0,5.0,3.0,SAN JOSE
14500000.0,200.0,143.0,4.0,2.0,2.0,SAN ANTONIO DE LA PUNTA
975000.0,126.0,0.0,3.0,2.0,2.0,OBRERA
14400000.0,109.0,100.0,3.0,3.0,2.0,LA JOYA
14500000.0,880.0,509.0,4.0,5.0,4.0,JARDINES DE SANTIAGO
3300000.0,539.0,515.0,4.0,4.0,4.0,EL CAMPANARIO
3300000.0,389.0,375.0,4.0,4.0,3.0,PARQUE SANTIAGO
550000.0,90.0,62.0,2.0,1.0,1.0,EL CAMPANARIO
1850000.0,198.0,119.0,3.0,2.0,1.0,MILENIO III
4095000.0,198.0,192.0,3.0,2.0,2.0,LA GLORIA
1034000.0,150.0,123.0,4.0,2.0,2.0,MISION DE CONCA
9865000.0,420.0,0.0,4.0,5.0,3.0,EL BOSQUE
5400000.0,340.0,0.0,4.0,4.0,2.0,REAL DE JURIQUILLA (DIAMANTE)
3300000.0,146.0,0.0,3.0,2.0,2.0,CUMBRES DEL LAGO
5677600.0,389.0,327.0,4.0,4.0,2.0,EL CAMPANARIO
12990000.0,389.0,0.0,4.0,4.0,3.0,SANTIAGO
672371.0,230.0,124.0,3.0,2.0,2.0,CIMATARIO
16800000.0,840.0,299.0,5.0,7.0,8.0,LOMAS DEL MARQUES
2100000.0,160.0,113.0,3.0,2.0,2.0,LA JOYA
1414639.0,112.0,112.0,3.0,2.0,2.0,LA VISTA RESIDENCIAL
4940000.0,215.0,180.0,3.0,3.0,2.0,TLACOTE EL BAJO
1250000.0,123.0,123.0,3.0,3.0,2.0,EL PARQUE
580000.0,90.0,62.0,2.0,1.0,1.0,CENTRO SCT QUERETARO
1528800.0,130.0,110.0,3.0,1.0,1.0,LOMAS DE JURIQUILLA
12000000.0,580.0,310.0,3.0,4.0,3.0,LOMA JURIQUILLA
3200000.0,269.0,251.0,3.0,4.0,2.0,EL MARQUES QUERETANO
820000.0,156.0,87.0,3.0,2.0,1.0,LA CANTERA
990000.0,105.0,95.0,3.0,1.0,2.0,EL MARQUES
1412750.0,256.0,220.0,3.0,2.0,1.0,EDUARDO LOARCA CASTILLO
780000.0,60.0,45.0,2.0,1.0,1.0,CUMBRES DEL LAGO
5500000.0,244.0,176.0,3.0,2.0,2.0,PASEOS DEL PEDREGAL
7280100.0,280.0,200.0,3.0,3.0,3.0,CENTRO
550000.0,70.0,70.0,2.0,1.0,2.0,EL REFUGIO
5231000.0,232.0,184.0,3.0,4.0,2.0,JURIQUILLA
5700000.0,285.0,285.0,3.0,3.0,4.0,EL CAMPANARIO
11400000.0,350.0,315.0,3.0,1.0,0.0,CENTRO
576715.0,80.0,80.0,2.0,1.0,1.0,FRAY JUNIPERO SERRA
3300000.0,323.0,272.0,3.0,5.0,3.0,SANTA MONICA
929000.0,150.0,150.0,4.0,3.0,2.0,SAN ISIDRO JURIQUILLA
3050000.0,133.0,0.0,3.0,2.0,2.0,JURIQUILLA
4150000.0,235.0,0.0,3.0,3.0,2.0,HIDALGO
22000000.0,751.0,669.0,5.0,4.0,7.0,SAN FRANCISCO
14500000.0,774.0,607.0,5.0,5.0,0.0,LOMAS DE JURIQUILLA
8850000.0,479.0,250.0,4.0,4.0,0.0,JURIQUILLA
5600000.0,450.0,297.0,3.0,2.0,2.0,CENTRO
420338.0,120.0,120.0,2.0,2.0,1.0,PASEOS DEL PEDREGAL
3300000.0,280.0,200.0,3.0,4.0,3.0,CIMATARIO
6500000.0,250.0,0.0,3.0,3.0,3.0,EL CAMPANARIO
12750000.0,358.0,316.0,4.0,4.0,3.0,EL CAMPANARIO
11400000.0,325.0,280.0,4.0,5.0,0.0,EL REFUGIO
3580000.0,217.0,130.0,3.0,2.0,0.0,JURIQUILLA
5950000.0,280.0,255.0,3.0,4.0,0.0,SANTA FE
5730000.0,270.0,180.0,3.0,3.0,0.0,JURIQUILLA
3550000.0,191.0,0.0,3.0,2.0,2.0,JURIQUILLA
5900000.0,277.0,277.0,3.0,3.0,2.0,REAL DE JURIQUILLA
2990000.0,145.0,106.0,3.0,2.0,0.0,JURIQUILLA
6990000.0,326.0,206.0,4.0,4.0,0.0,JURIQUILLA
3180000.0,159.0,126.0,3.0,2.0,0.0,CENTRO
