Unnamed: 0,House,Price,Ubication,Features
10,Casa En Venta En Fraccionamiento Real De Juriquilla,"3,350,000","Quetzal, Calesa, Querétaro, Querétaro","['Superficie total300 m²', 'Superficie construida170 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad12 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
11,"Bonita Casa En Venta Ubicada En Col Calesa, Querétaro","510,000","Boulevard Jurica La Campana, Juriquilla, Querétaro, Querétaro","['Superficie total175 m²', 'Superficie construida200 m²', 'Recámaras4', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad17 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónOriente']"
12,"Excelente Oportunidad Venta Preciosa Casa En Juriquilla, Querétaro","750,000","Lago Chacamax 110, Juriquilla, Querétaro, Querétaro","['Superficie total375 m²', 'Superficie construida375 m²', 'Recámaras5', 'Baños3', 'Estacionamientos4', 'Es propiedad en remateSí', 'Antigüedad15 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente']"
13,"Hermosa Casa En Venta, Lago Chacamax Juriquilla As","800,000","Avenida Valle De Araquil 100, Zibatá, Querétaro, Querétaro","['Superficie total700 m²', 'Superficie construida654 m²', 'Recámaras5', 'Baños4', 'Estacionamientos4', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte']"
14,Casa En Venta En Zibatá,"5,500,000","Querétaro, Querétaro","['Superficie total148.5 m²', 'Superficie construida245 m²', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad6 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
15,Casa Familiar De 3 Habitaciones En El Mirador 23-2409lp~,"2,750,000","Claustros De La Catedral, Claustros De La Catedral, Querétaro, Querétaro","['Superficie total108 m²', 'Superficie construida112 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad1 años', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa']"
16,Casa En Venta  Residencial Claustros De La Catedral 3 Recamaras Roof Garden,"6,100,000","El Campanario, Querétaro, Querétaro","['Superficie total254 m²', 'Superficie construida0 m²', 'Recámaras3', 'Baños5', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad1 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'Tipo de propiedadCasa sola']"
17,El Campanario Casa De 4 Recamaras En Venta Qh2563,"25,000,000","Paseos Del Pedregal, Querétaro, Querétaro","['Superficie total839 m²', 'Superficie construida635 m²', 'Recámaras4', 'Baños4', 'Estacionamientos8', 'Es propiedad en remateNo', 'Antigüedad12 años', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa']"
18,Residencia En Altozano  -jardín Con Jacuzzi Con Una Vista A La Reserva - Rio,"21,800,000","Rincón De Fray Juan, Cimatario, Querétaro, Querétaro","['Superficie total556 m²', 'Superficie construida525 m²', 'Recámaras4', 'Baños5', 'Estacionamientos4', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes10', 'Bodegas0', 'Cantidad de pisos2']"
19,Casa En Venta Cimatario Fray Juan Querétaro,"5,300,000","Av. Jaime Sabines, Otros, Querétaro, Querétaro","['Superficie total294.71 m²', 'Superficie construida262.36 m²', 'Recámaras4', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad42 años', 'Ambientes5', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónOriente']"
20,Casa En Venta Sonterra Querétaro ,"2,100,000","100da Cerrada De Altozano, San Pedrito El Alto, Querétaro, Querétaro","['Superficie total108.07 m²', 'Superficie construida118.73 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad8 años', 'Ambientes5', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónOriente']"
21,Casa En Condominio En Venta En Altozano El Nuevo Querétaro,"6,700,000","Rancho Largo, Juriquilla, Querétaro, Querétaro","['Superficie total180 m²', 'Superficie construida250 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad2 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
22,"Casa En Venta En Juriquilla, Querétaro, Excelente Oportunidad, Js.","795,000","Avenida Cumbres De Juriquilla, Juriquilla, Querétaro, Querétaro","['Superficie total450 m²', 'Superficie construida310 m²', 'Recámaras4', 'Baños3', 'Estacionamientos4', 'Es propiedad en remateSí', 'Antigüedad25 años', 'Ambientes1', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur']"
23,"Casa Con Jardín, Terraza, Lago De Juriquilla, Queretaro","13,990,000","Álamos 3a Sección, Querétaro, Querétaro","['Superficie total280 m²', 'Superficie construida460 m²', 'Recámaras3', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Tipo de casaCasa']"
24,"Casa En Álamos Tercera Sección, Zona Muy  Bonita Y  Céntrica","4,990,000","Reserva Malpeo No. 100, Bio Grand Etapa Ii, Real De Juriquilla (Diamante), Querétaro, Querétaro","['Superficie total250 m²', 'Superficie construida240 m²', 'Recámaras3', 'Baños2', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0']"
